Name;Cas Number;E Score;E Color;H Score;H Color;S Score;S Color;EHS Color;Boiling Point (°C);Melting Point (°C);Vapour Pressure (25°C mmHg);Flash Point (°C);Autoignition Temperature (°C);Hansen Delta D (MPa1/2);Hansen Delta P (MPa1/2);Hansen Delta H (MPa1/2);Hansen Delta D (MPa1/2)_Copy1;Hansen Delta P (MPa1/2)_Copy1;Hansen Delta H (MPa1/2)_Copy1;Solubility Water (20°C g/L);Solubility Water (20°C g/L)_Copy1;Density (25°C kg/L);Viscosity (25°C mPa.s);Relative Vapour Density (Air=1);Log P Octanol Water (20°C);Refractive Index (20°C);Surface Tension (25°C mN/m);Molar Volume;Relative Evaporation Rate (BuAc=100);Antoine A;Antoine B;Antoine C;Molecular Weight
methanol;67-56-1;5;#FFD700;7;#FF6347;4;#FFD700;#9ACD32;64.7;-98;126.760424427;12;455;14.7;12.3;22.3;14.7;12.3;22.3;1000;1000;0.75;0.544;1.11;0.74;1.3288;22.07;40.6;300;7.46;1251;208.7;32
ethanol;64-17-5;3;#9ACD32;3;#9ACD32;4;#FFD700;#9ACD32;78.2;-114.1;59.3298791253;8.89;365;15.8;8.8;19.4;15.8;8.8;19.4;789;789;0.78;1.07;1.59;0.32;1.3611;21.82;58.6;150;7.526;1285.5;198.4;46
propan-2-ol;67-63-0;3;#9ACD32;3;#9ACD32;4;#FFD700;#9ACD32;82.3;-89.5;45.3787318215;11.67;425;15.8;6.1;16.4;15.8;6.1;16.4;1000;1000;0.79;2.04;2.1;0.05;1.3776;21.3;76.9;150;7.644;1320.3;194.8;60
acetone;67-64-1;5;#FFD700;3;#9ACD32;5;#FFD700;#9ACD32;56;-95;231.018998364;-20;465;15.5;10.4;7;15.5;10.4;7;1000;1000;0.7845;0.306;2;0.24;1.3588;23.46;73.8;560;7.126;1219.4;231.1;58
butan-2-one;78-93-3;3;#9ACD32;3;#9ACD32;5;#FFD700;#9ACD32;79.5;-86.6;95.33;9;404;16;9;5.1;16;9;5.1;290;290;0.79;0.4;2.5;0.29;1.3788;23.96;90.2;380;6.901;1173;212.2;72
n-Butyl Acetate;123-86-4;3;#9ACD32;2;#9ACD32;4;#FFD700;#9ACD32;126.4;-78;11.498;26.5;421.11;15.8;3.7;6.3;15.8;3.7;6.3;5.3;5.3;0.876;0.6;4;1.81;1.3941;25.09;132.6;100;7.128;1443.3;213.8;116
Diethyl ether;60-29-7;7;#FF6347;3;#9ACD32;10;#FF6347;#FF6347;34.6;-116.3;537.044165028;-45;160;14.5;2.9;4.6;14.5;2.9;4.6;64;64;0.73;0.22;2.55;0.82;1.352;16.65;104.7;2574;6.955;1076.2;229.6;74
Diisopropyl ether;108-20-3;5;#FFD700;3;#9ACD32;9;#FF6347;#FF6347;68;-86.8;149.262274917;-29;405;13.7;3.2;2.3;13.7;3.2;2.3;3.11;3.11;0.7192;0.38;3.5;1.52;1.368;17.34;141.8;953;7.044;1228.1;226.7;102
MTBE;1634-04-4;5;#FFD700;3;#9ACD32;8;#FF6347;#FFD700;54;-110;204;-28;224;14.8;4.3;5;14.8;4.3;5;41.85;41.85;0.7353;0.44;3.23;1.06;1.369;20.43;119.8;1409;6.752;1073.9;222.2;88
tetrahydrofuran;109-99-9;5;#FFD700;7;#FF6347;6;#FFD700;#FFD700;66;-108.4;162.013323528;-14;321;16.8;5.7;8;16.8;5.7;8;1000;1000;0.8833;0.456;2.5;0.45;1.41;26.32;81.9;472;6.79;1165.5;232.2;72
