Name;Cas Number;E Score;E Color;H Score;H Color;S Score;S Color;EHS Color;Boiling Point (°C);Melting Point (°C);Vapour Pressure (25°C mmHg);Flash Point (°C);Autoignition Temperature (°C);Hansen Delta D (MPa1/2);Hansen Delta P (MPa1/2);Hansen Delta H (MPa1/2);Solubility Water (20°C g/L);Density (25°C kg/L);Viscosity (25°C mPa.s);Relative Vapour Density (Air=1);Log P Octanol Water (20°C);Refractive Index (20°C);Surface Tension (25°C mN/m);Molar Volume;Relative Evaporation Rate (BuAc=100);Antoine A;Antoine B;Antoine C;Molecular Weight
1,3-propanediol;504-63-2;7;#FF6347;1;#9ACD32;1;#9ACD32;#FFD700;214.4;-26.7;0.044;79.4;405;16.8;13.5;23.2;1000;1.04;40.01;2.6;-1.093;1.439;45.17;72.5;0.03;7.627;1768.7;157.8;76
1,4-dioxane;123-91-1;3;#9ACD32;6;#FFD700;7;#FFD700;#FF6347;101.5;11.8;38.103;12.2;355;17.5;1.8;9;1000;1;1.19;3;0.42;14.224;32.75;85.7;24;7.021;1309.5;214.9;88
1-butanol;71-36-3;3;#9ACD32;4;#FFD700;3;#9ACD32;#9ACD32;117.6;-89;6.698;35;340;16;5.7;15.8;66;0.81;2.544;2.6;0.785;13.988;24.67;92;43;7.57;1422.3;185.6;74
3-methoxybutan-1-ol;2517-43-3;5;#FFD700;1;#9ACD32;3;#9ACD32;#9ACD32;157;-85;0.908;67;305;15.3;5.4;13.6;366.2;0.92;2.28;3.6;0.002;1.408;27.8;113.2;9.1;73.812;1541.7;185.9;104
3-pentanone;96-22-0;3;#9ACD32;2;#9ACD32;5;#FFD700;#9ACD32;101.9;-39;37.653;12.8;425;15.8;7.6;4.7;45.6;0.8;0.45;3;0.85;1.392;24.74;106.4;172;6.931;1254.8;208;86
4-methylpentan-2-one;108-10-1;3;#9ACD32;2;#9ACD32;4;#FFD700;#9ACD32;116.5;-84;19.877;13.3;460;15.3;6.1;4.1;14.1;0.8;0.54;3.45;1.19;13.962;23.6;125.8;162;6.755;1217.8;198.1;100
Acetic acid;64-19-7;3;#9ACD32;7;#FF6347;3;#9ACD32;#FFD700;117.9;16.6;15.676;40;427;14.5;8;13.57;602.9;1.07;1.05;2.1;0.2;1.366;27.1;57.6;40;7.212;1423.5;210.8;60
Acetic anhydride;108-24-7;3;#9ACD32;7;#FF6347;3;#9ACD32;#FFD700;139.5;-73;0.510;49;316;16;11.7;10.2;120;1.08;0.843;3.52;0.577;13.901;31.93;95;23;7.145;1442.6;199.6;102
acetone;67-64-1;5;#FFD700;3;#9ACD32;5;#FFD700;#9ACD32;56;-95;231.019;-20;465;15.5;10.4;7;1000;0.7845;0.306;2;0.24;13.588;23.46;73.8;560;7.126;1219.4;231.1;58
acetonitrile;75-05-8;3;#9ACD32;3;#9ACD32;4;#FFD700;#FFD700;81;-46;8.851;12.8;524;15.3;18;6.1;1000;0.79;0.369;1.42;0.34;1.344;28.66;52.9;230;7.077;1280.8;224.2;41
